Mood,use percentage
Happy,23.16296678712786
Determined,12.614007916021338
Excited,9.069007055584237
Lively,3.011529857167441
Motivated,16.950610910342455
Powerful,3.28686972982275
Loving,3.803131991051454
Helpful,2.7017725004302187
Peaceful,14.506969540526587
Proud,8.225778695577352
Optimistic,8.191361211495439
Valued,4.353811736362072
Content,14.162794699707451
Hopeful,5.678884873515746
Confident,3.820340733092411
Relieved,3.5450008604371024
Annoyed,3.166408535536052
Nervous,8.156943727413527
Overwhelmed,4.594734124935467
Irritated,2.4264326277749095
Anxious,8.67320598864223
Afraid,1.6692479779728102
Angry,1.152985716744106
Worried,3.5622096024780587
Bored,3.183617277577009
Lonely,2.323180175529169
Weary,7.090001720874205
Disappointed,2.4264326277749095
Confused,1.428325589399415
Embarrassed,0.8088108759249699
Sad,3.751505764928584
